Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 3JJ,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3JL,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3JN,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3JP,2,1.75%,76,66.67%,2,1.75%,32,28.07%
CF24 3JQ,2,1.75%,76,66.67%,2,1.75%,32,28.07%
CF24 3JR,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3JS,14,10.37%,44,32.59%,0,0.00%,75,55.56%
CF24 3JT,2,1.68%,65,54.62%,1,0.84%,49,41.18%
CF24 3JU,2,1.49%,78,58.21%,1,0.75%,46,34.33%
CF24 3JW,14,10.37%,44,32.59%,0,0.00%,75,55.56%
CF24 3JX,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3JY,2,1.49%,78,58.21%,1,0.75%,46,34.33%
CF24 3JZ,2,1.49%,78,58.21%,1,0.75%,46,34.33%
CF24 3LA,2,1.49%,78,58.21%,1,0.75%,46,34.33%
CF24 3LB,14,10.37%,44,32.59%,0,0.00%,75,55.56%
CF24 3LD,5,4.35%,46,40.00%,0,0.00%,58,50.43%
CF24 3LE,1,0.82%,42,34.43%,0,0.00%,77,63.11%
CF24 3LG,1,0.82%,42,34.43%,0,0.00%,77,63.11%
CF24 3LH,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3LJ,0,0.00%,57,57.00%,0,0.00%,40,40.00%
CF24 3LL,4,3.36%,47,39.50%,0,0.00%,62,52.10%
CF24 3LN,4,3.36%,47,39.50%,0,0.00%,62,52.10%
CF24 3LP,4,3.36%,47,39.50%,0,0.00%,62,52.10%
CF24 3LQ,4,2.41%,57,34.34%,1,0.60%,98,59.04%
CF24 3LR,4,2.41%,57,34.34%,1,0.60%,98,59.04%
CF24 3LS,5,4.35%,46,40.00%,0,0.00%,58,50.43%
CF24 3LT,7,5.74%,63,51.64%,0,0.00%,47,38.52%
CF24 3LU,7,5.74%,63,51.64%,0,0.00%,47,38.52%
CF24 3LW,7,5.74%,63,51.64%,0,0.00%,47,38.52%
CF24 3LX,5,4.35%,46,40.00%,0,0.00%,58,50.43%
CF24 3LY,7,5.74%,63,51.64%,0,0.00%,47,38.52%
CF24 3LZ,1,0.82%,42,34.43%,0,0.00%,77,63.11%
CF24 3NA,4,2.41%,57,34.34%,1,0.60%,98,59.04%
CF24 3NS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QE,Error,Error,Error,Error,Error,Error,Error,Error
