Postcode,Social Housing Count,Social Housing %,Total Households
CF24 4ST,57,50.00%,114
CF24 4SQ,57,50.00%,114
CF24 4SL,57,50.00%,114
CF24 4HX,38,32.48%,38
CF24 4HS,38,32.48%,38
CF24 4EF,38,32.48%,38
CF24 4DW,38,32.48%,117
CF24 4AH,38,32.48%,117
CF24 4XD,40,23.81%,168
CF24 4LB,20,22.22%,90
CF24 4LA,20,22.22%,90
CF24 4AP,12,15.58%,77
CF24 4AD,12,15.58%,77
CF24 4AA,12,15.58%,77
CF24 4BG,11,14.86%,74
CF24 4AR,11,14.86%,74
CF24 4BA,15,11.54%,130
CF24 4AQ,15,11.54%,130
CF24 4AN,15,11.54%,130
CF24 4BE,10,9.90%,101
CF24 4AU,10,9.90%,101
CF24 4AT,10,9.90%,101
CF24 4NU,7,8.97%,78
CF24 4NT,7,8.97%,78
CF24 4BZ,4,8.89%,45
CF24 4PH,12,8.82%,136
CF24 4PG,12,8.82%,136
CF24 4PF,12,8.82%,136
CF24 4PE,12,8.82%,136
CF24 4FX,9,8.82%,2
CF24 4FG,12,8.82%,4
CF24 4EB,9,8.82%,102
CF24 4EA,9,8.82%,102
CF24 4BJ,9,8.82%,102
CF24 4NE,5,8.62%,58
CF24 4EX,5,8.62%,1
CF24 4EH,5,8.62%,1
CF24 4AX,6,8.33%,72
CF24 4AW,6,8.33%,72
CF24 4AS,6,8.33%,72
CF24 4ED,11,8.27%,133
CF24 4DR,11,8.27%,133
CF24 4DP,11,8.27%,133
CF24 4DB,11,8.27%,133
CF24 4DA,11,8.27%,133
CF24 4BU,11,8.27%,133
CF24 4DJ,4,8.16%,49
CF24 4DG,10,7.58%,132
CF24 4DF,10,7.58%,132
CF24 4AL,10,7.58%,132
CF24 4AE,10,7.58%,132
CF24 4AB,10,7.58%,132
CF24 4FD,8,6.96%,1
CF24 4ES,8,6.96%,1
CF24 4EP,8,6.96%,1
CF24 4EJ,8,6.96%,1
CF24 4EG,8,6.96%,1
CF24 4DX,8,6.96%,115
CF24 4LZ,9,6.92%,130
CF24 4LG,9,6.92%,130
CF24 4LE,9,6.92%,130
CF24 4JE,9,6.92%,1
CF24 4JB,9,6.92%,1
CF24 4NN,7,6.67%,105
CF24 4NL,7,6.67%,105
CF24 4ND,7,6.67%,105
CF24 4LX,7,6.67%,105
CF24 4FH,7,6.67%,2
CF24 4FE,7,6.67%,2
CF24 4EW,7,6.67%,2
CF24 4ER,7,6.67%,2
CF24 4EN,7,6.67%,2
CF24 4SJ,12,6.63%,181
CF24 4SG,12,6.63%,181
CF24 4SF,12,6.63%,181
CF24 4RJ,12,6.63%,181
CF24 4PL,12,6.63%,181
CF24 4NS,12,6.63%,181
CF24 4NJ,12,6.63%,181
CF24 4NA,12,6.63%,181
CF24 4HZ,10,6.54%,0
CF24 4HA,10,6.54%,0
CF24 4EZ,10,6.54%,0
CF24 4EU,10,6.54%,0
CF24 4ET,10,6.54%,0
CF24 4EQ,10,6.54%,0
CF24 4SS,6,6.19%,97
CF24 4SR,6,6.19%,97
CF24 4RP,6,6.19%,97
CF24 4RN,6,6.19%,97
CF24 4DQ,6,6.19%,97
CF24 4YE,4,5.80%,69
CF24 4NB,8,5.80%,138
CF24 4FF,8,5.80%,0
CF24 4EE,8,5.80%,138
CF24 4DZ,8,5.80%,138
CF24 4DY,8,5.80%,138
CF24 4DS,4,5.80%,69
CF24 4DE,8,5.80%,138
CF24 4DD,8,5.80%,138
CF24 4BF,4,5.80%,69
CF24 4AZ,4,5.80%,69
CF24 4AY,4,5.80%,69
CF24 4AJ,4,5.80%,69
CF24 4AG,4,5.80%,69
CF24 4TY,7,5.74%,122
CF24 4GG,7,5.65%,1
CF24 4XR,8,5.56%,144
CF24 4NQ,8,5.56%,144
CF24 4NP,8,5.56%,144
CF24 4NH,8,5.56%,144
CF24 4NG,8,5.56%,144
CF24 4NF,8,5.56%,144
CF24 4HD,8,5.56%,0
CF24 4HB,8,5.56%,0
CF24 4FA,8,5.56%,0
CF24 4EY,8,5.56%,0
CF24 4JU,7,5.11%,3
CF24 4JP,7,5.11%,3
CF24 4HY,7,5.11%,3
CF24 4HT,7,5.11%,3
CF24 4HH,7,5.11%,3
CF24 4EL,7,5.11%,3
CF24 4SH,7,4.96%,141
CF24 4RU,7,4.96%,141
CF24 4RR,7,4.96%,141
CF24 4RQ,7,4.96%,141
CF24 4RL,7,4.96%,141
CF24 4JH,6,4.62%,1
CF24 4JG,6,4.62%,1
CF24 4JF,6,4.62%,1
CF24 4JD,6,4.62%,1
CF24 4HU,6,4.62%,1
CF24 4JN,6,4.51%,2
CF24 4JL,6,4.51%,2
CF24 4JJ,6,4.51%,2
CF24 4HR,6,4.51%,2
CF24 4SD,5,4.50%,111
CF24 4SA,5,4.50%,111
CF24 4RX,5,4.50%,111
CF24 4RW,5,4.50%,111
CF24 4HQ,5,3.50%,1
CF24 4HP,5,3.50%,1
CF24 4LF,5,3.38%,148
CF24 4JZ,5,3.38%,148
CF24 4JY,5,3.38%,148
CF24 4JW,5,3.38%,0
CF24 4JA,5,3.38%,0
CF24 4HW,5,3.38%,0
CF24 4TS,4,3.36%,119
CF24 4TH,4,3.36%,119
CF24 4TG,4,3.36%,119
CF24 4TF,4,3.36%,119
CF24 4LR,4,3.03%,132
CF24 4LQ,4,3.03%,132
CF24 4LN,4,3.03%,132
CF24 4LJ,4,3.03%,132
CF24 4BY,4,2.88%,139
CF24 4BR,4,2.88%,139
CF24 4BQ,4,2.88%,139
CF24 4BP,4,2.88%,139
CF24 4BN,4,2.88%,139
CF24 4QY,4,2.82%,142
CF24 4QU,4,2.82%,142
CF24 4QS,4,2.82%,142
CF24 4QN,4,2.82%,142
CF24 4LD,1,2.63%,38
CF24 4HN,1,2.63%,0
CF24 4HJ,1,2.63%,0
CF24 4PN,4,2.61%,153
CF24 4PD,4,2.61%,153
CF24 4PB,4,2.61%,153
CF24 4PA,4,2.61%,153
CF24 4NY,4,2.61%,153
CF24 4NW,4,2.61%,153
CF24 4WX,3,2.24%,134
CF24 4SZ,3,2.24%,134
CF24 4GE,3,2.24%,2
CF24 4GD,3,2.24%,2
CF24 4YA,3,2.22%,135
CF24 4RB,4,2.22%,180
CF24 4QP,4,2.22%,180
CF24 4QL,3,2.22%,135
CF24 4QH,3,2.22%,135
CF24 4QG,4,2.22%,180
CF24 4QF,4,2.22%,180
CF24 4QE,4,2.22%,180
CF24 4QD,3,2.22%,135
CF24 4QB,3,2.22%,135
CF24 4QA,3,2.22%,135
CF24 4PZ,3,2.22%,135
CF24 4PY,3,2.22%,135
CF24 4PX,4,2.22%,180
CF24 4PW,3,2.22%,135
CF24 4PP,3,2.22%,135
