Postcode,Council + Other Social (Count),Council + Other Social (%),Total Households
CF24 4AH,38,32.48%,117
CF24 4DW,38,32.48%,117
CF24 4DX,8,6.96%,115
CF24 4AN,15,11.54%,130
CF24 4AQ,15,11.54%,130
CF24 4BA,15,11.54%,130
CF24 4AR,11,14.86%,74
CF24 4BG,11,14.86%,74
CF24 4AB,10,7.58%,132
CF24 4AE,10,7.58%,132
CF24 4DF,10,7.58%,132
CF24 4DG,10,7.58%,132
CF24 4AA,12,15.58%,77
CF24 4AD,12,15.58%,77
CF24 4AP,12,15.58%,77
CF24 4BZ,4,8.89%,45
CF24 4AS,6,8.33%,72
CF24 4AW,6,8.33%,72
CF24 4AX,6,8.33%,72
CF24 4BT,2,1.37%,146
CF24 4BW,2,1.37%,146
CF24 4BX,2,1.37%,146
CF24 4DL,2,1.37%,146
CF24 4AL,10,7.58%,132
CF24 4BU,11,8.27%,133
CF24 4DA,11,8.27%,133
CF24 4DP,11,8.27%,133
CF24 4ED,11,8.27%,133
CF24 4DB,11,8.27%,133
CF24 4BJ,9,8.82%,102
CF24 4EA,9,8.82%,102
CF24 4EB,9,8.82%,102
CF24 4AG,4,5.80%,69
CF24 4AJ,4,5.80%,69
CF24 4AY,4,5.80%,69
CF24 4AZ,4,5.80%,69
CF24 4BF,4,5.80%,69
CF24 4DS,4,5.80%,69
CF24 4AT,10,9.90%,101
CF24 4AU,10,9.90%,101
CF24 4BE,10,9.90%,101
CF24 4DQ,6,6.19%,97
CF24 4BN,4,2.88%,139
CF24 4BP,4,2.88%,139
CF24 4BQ,4,2.88%,139
CF24 4BR,4,2.88%,139
CF24 4BY,4,2.88%,139
CF24 4DD,8,5.80%,138
CF24 4DE,8,5.80%,138
CF24 4DY,8,5.80%,138
CF24 4DZ,8,5.80%,138
CF24 4EE,8,5.80%,138
CF24 4BD,1,0.79%,126
CF24 4BH,1,0.79%,126
CF24 4BL,1,0.79%,126
CF24 4BS,1,0.79%,126
CF24 4DH,1,0.79%,126
CF24 4DJ,4,8.16%,49
CF24 4DR,11,8.27%,133
