Postcode,Council + Other Social (Count),Council + Other Social (%),Rented: From Council,Rented: Other Social,Total
CF24 4HS,38,32.48%,38,0,117
CF24 4HX,38,32.48%,38,0,117
CF24 4EF,38,32.48%,38,0,117
CF24 4EQ,10,6.54%,0,10,153
CF24 4ET,10,6.54%,0,10,153
CF24 4EU,10,6.54%,0,10,153
CF24 4EZ,10,6.54%,0,10,153
CF24 4HA,10,6.54%,0,10,153
CF24 4HZ,10,6.54%,0,10,153
CF24 4FG,12,8.82%,4,8,136
CF24 4EY,8,5.56%,0,8,144
CF24 4FA,8,5.56%,0,8,144
CF24 4HB,8,5.56%,0,8,144
CF24 4HD,8,5.56%,0,8,144
CF24 4FF,8,5.80%,0,8,138
CF24 4EL,7,5.11%,3,4,137
CF24 4HH,7,5.11%,3,4,137
CF24 4HT,7,5.11%,3,4,137
CF24 4HY,7,5.11%,3,4,137
CF24 4JP,7,5.11%,3,4,137
CF24 4JU,7,5.11%,3,4,137
CF24 4EG,8,6.96%,1,7,115
CF24 4EJ,8,6.96%,1,7,115
CF24 4EP,8,6.96%,1,7,115
CF24 4ES,8,6.96%,1,7,115
CF24 4FD,8,6.96%,1,7,115
CF24 4GG,7,5.65%,1,6,124
CF24 4EN,7,6.67%,2,5,105
CF24 4ER,7,6.67%,2,5,105
CF24 4EW,7,6.67%,2,5,105
CF24 4FE,7,6.67%,2,5,105
CF24 4FH,7,6.67%,2,5,105
CF24 4FX,9,8.82%,2,7,102
CF24 4EH,5,8.62%,1,4,58
CF24 4EX,5,8.62%,1,4,58
CF24 4HJ,1,2.63%,0,1,38
CF24 4HN,1,2.63%,0,1,38
CF24 4HR,6,4.51%,2,4,133
CF24 4JJ,6,4.51%,2,4,133
CF24 4JL,6,4.51%,2,4,133
CF24 4JN,6,4.51%,2,4,133
CF24 4HP,5,3.50%,1,4,143
CF24 4HQ,5,3.50%,1,4,143
CF24 4JB,9,6.92%,1,8,130
CF24 4JE,9,6.92%,1,8,130
CF24 4HU,6,4.62%,1,5,130
CF24 4JD,6,4.62%,1,5,130
CF24 4JF,6,4.62%,1,5,130
CF24 4JG,6,4.62%,1,5,130
CF24 4JH,6,4.62%,1,5,130
CF24 4JA,5,3.38%,0,5,148
CF24 4HW,5,3.38%,0,5,148
CF24 4JW,5,3.38%,0,5,148
CF24 4GA,1,0.73%,1,0,137
CF24 4GB,2,1.77%,2,0,113
CF24 4GD,3,2.24%,2,1,134
CF24 4GE,3,2.24%,2,1,134
CF24 4GF,1,0.81%,0,1,123
CF24 4HF,0,0.00%,0,0,103
CF24 4HL,0,0.00%,0,0,103
