Postcode,Rented: From Council,Rented: Other Social,Total,Count,Percentage
CF24 4QE,1,3,180,4,2.22%
CF24 4QF,1,3,180,4,2.22%
CF24 4QG,1,3,180,4,2.22%
CF24 4QH,0,3,135,3,2.22%
CF24 4QJ,1,2,172,3,1.74%
CF24 4QL,0,3,135,3,2.22%
CF24 4QN,3,1,142,4,2.82%
CF24 4QP,1,3,180,4,2.22%
CF24 4QQ,1,2,172,3,1.74%
CF24 4QR,1,0,161,1,0.62%
CF24 4QS,3,1,142,4,2.82%
CF24 4QT,1,0,161,1,0.62%
CF24 4QU,3,1,142,4,2.82%
CF24 4QW,1,2,172,3,1.74%
CF24 4QX,1,0,161,1,0.62%
CF24 4QY,3,1,142,4,2.82%
CF24 4QZ,1,0,161,1,0.62%
CF24 4RA,1,0,161,1,0.62%
CF24 4RB,1,3,180,4,2.22%
CF24 4RJ,1,11,181,12,6.63%
CF24 4RL,0,7,141,7,4.96%
CF24 4RN,1,5,97,6,6.19%
CF24 4RP,1,5,97,6,6.19%
CF24 4RQ,0,7,141,7,4.96%
CF24 4RR,0,7,141,7,4.96%
CF24 4RS,0,1,123,1,0.81%
CF24 4RT,0,1,123,1,0.81%
CF24 4RU,0,7,141,7,4.96%
CF24 4RW,0,5,111,5,4.50%
CF24 4RX,0,5,111,5,4.50%
CF24 4RY,0,1,123,1,0.81%
CF24 4RZ,0,1,131,1,0.76%
CF24 4SA,0,5,111,5,4.50%
CF24 4SB,0,1,123,1,0.81%
CF24 4SD,0,5,111,5,4.50%
CF24 4SE,0,1,131,1,0.76%
CF24 4SF,1,11,181,12,6.63%
CF24 4SG,1,11,181,12,6.63%
CF24 4SH,0,7,141,7,4.96%
CF24 4SJ,1,11,181,12,6.63%
CF24 4SL,41,16,114,57,50.00%
CF24 4SP,1,0,122,1,0.82%
CF24 4SQ,41,16,114,57,50.00%
CF24 4SR,1,5,97,6,6.19%
CF24 4SS,1,5,97,6,6.19%
CF24 4ST,41,16,114,57,50.00%
CF24 4SW,0,0,100,0,0.00%
CF24 4SX,0,1,131,1,0.76%
CF24 4SY,2,0,113,2,1.77%
CF24 4SZ,2,1,134,3,2.24%
CF24 4TA,0,0,100,0,0.00%
CF24 4TB,0,1,131,1,0.76%
CF24 4TD,0,1,131,1,0.76%
CF24 4TE,0,1,131,1,0.76%
CF24 4TF,2,2,119,4,3.36%
CF24 4TG,2,2,119,4,3.36%
CF24 4TH,2,2,119,4,3.36%
CF24 4TJ,0,0,100,0,0.00%
CF24 4TL,1,0,122,1,0.82%
CF24 4TN,2,0,113,2,1.77%
