Postcode,Council Rented,Other Social,Total,Combined Count,Combined Percentage
CF24 4TP,2,0,113,2,1.77%
CF24 4TQ,0,0,100,0,0.00%
CF24 4TR,1,0,122,1,0.82%
CF24 4TS,2,2,119,4,3.36%
CF24 4TT,1,0,122,1,0.82%
CF24 4TU,1,0,137,1,0.73%
CF24 4TW,1,0,122,1,0.82%
CF24 4TX,2,0,113,2,1.77%
CF24 4TY,3,4,122,7,5.74%
CF24 4TZ,1,0,137,1,0.73%
CF24 4UA,1,0,137,1,0.73%
CF24 4UB,1,0,137,1,0.73%
CF24 4WX,2,1,134,3,2.24%
CF24 4XD,1,39,168,40,23.81%
CF24 4XR,0,8,144,8,5.56%
CF24 4YA,0,3,135,3,2.22%
CF24 4YE,1,3,69,4,5.80%
