Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 4DY,39,39.80%
CF3 4ED,39,39.80%
CF3 4EF,39,39.80%
CF3 4ER,39,39.80%
CF3 4DX,40,37.38%
CF3 4EB,40,37.38%
CF3 4EE,40,37.38%
CF3 4EG,40,37.38%
CF3 4EJ,40,37.38%
CF3 4ES,40,37.38%
CF3 4DT,40,28.99%
CF3 4DU,40,28.99%
CF3 4DZ,40,28.99%
CF3 4EA,40,28.99%
CF3 4EP,40,28.99%
CF3 4EQ,40,28.99%
CF3 4DS,35,26.92%
CF3 4DW,35,26.92%
CF3 4EH,35,26.92%
CF3 4EL,35,26.92%
CF3 4EN,35,26.92%
CF3 4DQ,27,20.61%
CF3 4DR,27,20.61%
CF3 4FA,0,0.00%
CF3 4FB,0,0.00%
