Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 5RF,116,86.57%
CF3 5RD,116,86.57%
CF3 5RB,116,86.57%
CF3 5RA,116,86.57%
CF3 5QW,75,60.98%
CF3 5QU,75,60.98%
CF3 5QS,75,60.98%
CF3 5QQ,75,60.98%
CF3 5QP,75,60.98%
CF3 5PU,75,60.98%
CF3 5NR,75,60.98%
CF3 5UH,82,58.57%
CF3 5UG,82,58.57%
CF3 5PP,82,58.57%
CF3 5PJ,82,58.57%
CF3 5PH,82,58.57%
CF3 5PB,82,58.57%
CF3 5PL,75,56.39%
CF3 5PG,75,56.39%
CF3 5PF,75,56.39%
CF3 5PA,75,56.39%
CF3 5NX,75,56.39%
CF3 5NW,75,56.39%
CF3 5NT,72,56.25%
CF3 5NH,72,56.25%
CF3 5NF,72,56.25%
CF3 5LZ,72,56.25%
CF3 5LY,72,56.25%
CF3 5UB,57,55.88%
CF3 5QT,57,50.00%
CF3 5QE,57,50.00%
CF3 5QD,57,50.00%
CF3 5NU,60,50.00%
CF3 5NN,57,50.00%
CF3 5NJ,60,50.00%
CF3 5LW,57,50.00%
CF3 5LN,57,50.00%
CF3 5LA,60,50.00%
CF3 5JZ,60,50.00%
CF3 5WL,85,47.22%
CF3 5TS,85,47.22%
CF3 5TR,85,47.22%
CF3 5TH,85,47.22%
CF3 5TF,85,47.22%
CF3 5TE,85,47.22%
CF3 5SZ,85,47.22%
CF3 5SR,85,47.22%
CF3 5SP,85,47.22%
CF3 5SN,85,47.22%
CF3 5SL,85,47.22%
CF3 5SJ,85,47.22%
CF3 5RN,85,47.22%
CF3 5NQ,85,47.22%
CF3 5AB,85,47.22%
CF3 5QL,63,45.00%
CF3 5QJ,63,45.00%
CF3 5PD,63,45.00%
CF3 5NZ,63,45.00%
CF3 5NY,63,45.00%
CF3 5NP,63,45.00%
CF3 5PS,51,43.97%
CF3 5PR,51,43.97%
CF3 5PQ,51,43.97%
CF3 5UY,61,41.78%
CF3 5UW,61,41.78%
CF3 5UN,61,41.78%
CF3 5UJ,61,41.78%
CF3 5DF,61,41.78%
CF3 5SY,39,39.80%
CF3 5QX,48,39.02%
CF3 5QH,48,39.02%
CF3 5QG,48,39.02%
CF3 5QF,48,39.02%
CF3 5LH,48,33.57%
CF3 5HU,48,33.57%
CF3 5HT,48,33.57%
CF3 5HS,48,33.57%
CF3 5AD,48,33.57%
CF3 5QZ,40,33.06%
CF3 5QY,40,33.06%
CF3 5QR,40,33.06%
CF3 5QN,40,33.06%
CF3 5PT,40,33.06%
CF3 5PE,40,33.06%
CF3 5SG,34,30.36%
CF3 5SF,34,30.36%
CF3 5RJ,34,30.36%
CF3 5RG,34,30.36%
CF3 5NB,34,30.36%
CF3 5LQ,34,30.36%
CF3 5LP,34,30.36%
CF3 5LJ,34,30.36%
CF3 5YX,37,28.03%
CF3 5XB,37,28.03%
CF3 5TZ,37,28.03%
CF3 5TX,37,28.03%
CF3 5EA,37,28.03%
CF3 5DE,37,28.03%
CF3 5BD,37,28.03%
CF3 5NG,36,27.91%
CF3 5NA,36,27.91%
CF3 5LT,36,27.91%
CF3 5LS,36,27.91%
CF3 5LR,36,27.91%
CF3 5HW,36,27.91%
CF3 5SH,32,27.35%
CF3 5SE,32,27.35%
CF3 5QA,32,27.35%
CF3 5LU,32,27.35%
CF3 5LL,32,27.35%
CF3 5SD,39,27.27%
CF3 5SB,39,27.27%
CF3 5RQ,39,27.27%
CF3 5RP,39,27.27%
CF3 5RL,39,27.27%
CF3 5RH,39,27.27%
CF3 5NL,38,26.76%
CF3 5NE,38,26.76%
CF3 5ND,38,26.76%
CF3 5LX,38,26.76%
CF3 5UF,35,24.82%
CF3 5UE,35,24.82%
CF3 5TW,35,24.82%
CF3 5TU,37,24.18%
CF3 5TT,37,24.18%
CF3 5TQ,37,24.18%
CF3 5TB,37,24.18%
CF3 5TA,37,24.18%
CF3 5RT,37,24.18%
CF3 5RR,37,24.18%
CF3 5QB,37,24.18%
CF3 5JY,31,23.31%
CF3 5JX,31,23.31%
CF3 5JW,31,23.31%
CF3 5JU,31,23.31%
CF3 5DG,31,23.31%
CF3 5RE,19,20.21%
CF3 5PZ,19,20.21%
CF3 5PY,19,20.21%
CF3 5PX,19,20.21%
CF3 5SX,19,16.38%
CF3 5TP,18,14.88%
CF3 5TN,18,14.88%
CF3 5TL,18,14.88%
CF3 5TJ,18,14.88%
CF3 5TG,18,14.88%
CF3 5PW,12,9.92%
CF3 5DL,12,9.92%
CF3 5XE,13,9.49%
CF3 5UX,13,9.49%
CF3 5UU,13,9.49%
CF3 5UT,13,9.49%
CF3 5US,13,9.49%
CF3 5EZ,13,9.49%
CF3 5EY,13,9.49%
CF3 5EX,13,9.49%
CF3 5XA,13,8.50%
CF3 5TY,13,8.50%
CF3 5ET,13,8.50%
CF3 5DJ,13,8.50%
CF3 5DH,13,8.50%
CF3 5UA,10,7.09%
CF3 5AA,10,7.09%
CF3 5SW,5,3.57%
CF3 5FX,5,3.57%
CF3 5UR,3,3.45%
CF3 5UQ,3,3.45%
CF3 5UP,3,3.45%
CF3 5UL,3,3.45%
CF3 5UD,3,3.45%
CF3 5SU,3,3.45%
CF3 5ST,3,3.45%
CF3 5SA,1,0.71%
CF3 5RZ,1,0.71%
CF3 5RY,1,0.71%
CF3 5RX,1,0.71%
CF3 5RW,1,0.71%
CF3 5RU,1,0.71%
CF3 5RS,1,0.71%
CF3 5PN,Error,Error
