Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF11 7JA,121,69.94,28,16.18,0,0.00,19,10.98
CF11 7HY,121,69.94,28,16.18,0,0.00,19,10.98
CF11 7HX,121,69.94,28,16.18,0,0.00,19,10.98
CF11 7HW,121,69.94,28,16.18,0,0.00,19,10.98
CF11 7HU,121,69.94,28,16.18,0,0.00,19,10.98
CF11 7HB,121,69.94,28,16.18,0,0.00,19,10.98
CF11 7PD,48,59.26,14,17.28,0,0.00,18,22.22
CF11 7FD,48,59.26,14,17.28,0,0.00,18,22.22
CF11 7BQ,68,59.13,32,27.83,0,0.00,15,13.04
CF11 7BP,68,58.12,32,27.35,0,0.00,15,12.82
CF11 7AL,68,58.12,32,27.35,0,0.00,15,12.82
CF11 7JP,73,48.67,18,12.00,0,0.00,54,36.00
CF11 7HQ,73,48.67,18,12.00,0,0.00,54,36.00
CF11 7HG,73,48.67,18,12.00,0,0.00,54,36.00
CF11 7HA,73,48.67,18,12.00,0,0.00,54,36.00
CF11 7ED,73,48.67,18,12.00,0,0.00,54,36.00
CF11 7DW,73,48.67,18,12.00,0,0.00,54,36.00
CF11 7EE,62,44.93,61,44.20,0,0.00,15,10.87
CF11 7EP,62,42.47,61,41.78,0,0.00,15,10.27
CF11 7EN,62,42.47,61,41.78,0,0.00,15,10.27
CF11 7EL,62,42.47,61,41.78,0,0.00,15,10.27
CF11 7EG,62,42.47,61,41.78,0,0.00,15,10.27
CF11 7LS,47,40.17,42,35.90,0,0.00,28,23.93
CF11 7LL,47,38.84,42,34.71,0,0.00,28,23.14
CF11 7HL,47,38.84,42,34.71,0,0.00,28,23.14
CF11 7JN,70,38.46,47,25.82,0,0.00,62,34.07
CF11 7JL,70,38.46,47,25.82,0,0.00,62,34.07
CF11 7HZ,70,38.46,47,25.82,0,0.00,62,34.07
CF11 7FE,70,38.46,47,25.82,0,0.00,62,34.07
CF11 7EX,70,38.46,47,25.82,0,0.00,62,34.07
CF11 7BN,70,38.46,47,25.82,0,0.00,62,34.07
CF11 7BE,44,37.93,22,18.97,0,0.00,45,38.79
CF11 7EF,26,32.50,44,55.00,1,1.25,9,11.25
CF11 7JG,53,32.12,73,44.24,1,0.61,38,23.03
CF11 7EU,53,32.12,73,44.24,1,0.61,38,23.03
CF11 7ET,53,32.12,73,44.24,1,0.61,38,23.03
CF11 7EH,26,31.71,44,53.66,1,1.22,9,10.98
CF11 7NA,53,31.36,73,43.20,1,0.59,38,22.49
CF11 7JF,53,31.36,73,43.20,1,0.59,38,22.49
CF11 7HP,53,31.36,73,43.20,1,0.59,38,22.49
CF11 7EY,53,31.36,73,43.20,1,0.59,38,22.49
CF11 7EW,53,31.36,73,43.20,1,0.59,38,22.49
CF11 7XS,41,30.83,58,43.61,1,0.75,25,18.80
CF11 7LH,41,30.83,58,43.61,1,0.75,25,18.80
CF11 7LF,41,30.83,58,43.61,1,0.75,25,18.80
CF11 7HR,41,30.83,58,43.61,1,0.75,25,18.80
CF11 7HD,41,30.83,58,43.61,1,0.75,25,18.80
CF11 7EZ,41,30.83,58,43.61,1,0.75,25,18.80
CF11 7BW,41,30.83,58,43.61,1,0.75,25,18.80
CF11 7HE,34,26.15,44,33.85,0,0.00,41,31.54
CF11 7EJ,34,26.15,44,33.85,0,0.00,41,31.54
CF11 7DX,34,26.15,44,33.85,0,0.00,41,31.54
CF11 7DR,34,26.15,44,33.85,0,0.00,41,31.54
CF11 7DQ,34,26.15,44,33.85,0,0.00,41,31.54
CF11 7EA,27,22.69,70,58.82,0,0.00,18,15.13
CF11 7DZ,27,22.69,70,58.82,0,0.00,18,15.13
CF11 7AS,27,22.69,70,58.82,0,0.00,18,15.13
CF11 7JU,22,16.92,48,36.92,1,0.77,54,41.54
CF11 7JT,22,16.92,48,36.92,1,0.77,54,41.54
CF11 7BT,29,16.02,72,39.78,0,0.00,75,41.44
CF11 7BL,29,16.02,72,39.78,0,0.00,75,41.44
CF11 7BG,29,16.02,72,39.78,0,0.00,75,41.44
CF11 7BD,29,16.02,72,39.78,0,0.00,75,41.44
CF11 7BB,29,16.02,72,39.78,0,0.00,75,41.44
CF11 7AZ,29,16.02,72,39.78,0,0.00,75,41.44
CF11 7AE,29,16.02,72,39.78,0,0.00,75,41.44
CF11 7LG,23,13.07,74,42.05,0,0.00,74,42.05
CF11 7LA,23,13.07,74,42.05,0,0.00,74,42.05
CF11 7JE,23,13.07,74,42.05,0,0.00,74,42.05
CF11 7JD,23,13.07,74,42.05,0,0.00,74,42.05
CF11 7JB,23,13.07,74,42.05,0,0.00,74,42.05
CF11 7HN,23,13.07,74,42.05,0,0.00,74,42.05
CF11 7LU,15,12.93,70,60.34,0,0.00,27,23.28
CF11 7LT,15,12.93,70,60.34,0,0.00,27,23.28
CF11 7LP,15,12.93,70,60.34,0,0.00,27,23.28
CF11 7AW,15,12.93,70,60.34,0,0.00,27,23.28
CF11 7AQ,15,12.93,70,60.34,0,0.00,27,23.28
CF11 7JR,23,12.23,107,56.91,0,0.00,49,26.06
CF11 7DY,23,12.23,107,56.91,0,0.00,49,26.06
CF11 7DS,23,12.23,107,56.91,0,0.00,49,26.06
CF11 7BR,23,12.23,107,56.91,0,0.00,49,26.06
CF11 7AY,23,12.23,107,56.91,0,0.00,49,26.06
CF11 7PL,21,10.94,67,34.90,0,0.00,100,52.08
CF11 7LY,21,10.94,67,34.90,0,0.00,100,52.08
CF11 7JX,21,10.94,67,34.90,0,0.00,100,52.08
CF11 7JQ,21,10.94,67,34.90,0,0.00,100,52.08
CF11 7HT,21,10.94,67,34.90,0,0.00,100,52.08
CF11 7HJ,21,10.94,67,34.90,0,0.00,100,52.08
CF11 7LW,14,9.86,61,42.96,0,0.00,63,44.37
CF11 7LD,14,9.86,61,42.96,0,0.00,63,44.37
CF11 7LB,14,9.86,61,42.96,0,0.00,63,44.37
CF11 7JY,14,9.86,61,42.96,0,0.00,63,44.37
CF11 7JS,14,9.86,61,42.96,0,0.00,63,44.37
CF11 7LN,12,9.23,88,67.69,0,0.00,30,23.08
CF11 7LJ,12,9.23,88,67.69,0,0.00,30,23.08
CF11 7LR,12,9.02,88,66.17,0,0.00,30,22.56
CF11 7LQ,12,9.02,88,66.17,0,0.00,30,22.56
CF11 7LE,12,9.02,88,66.17,0,0.00,30,22.56
CF11 7JZ,12,9.02,88,66.17,0,0.00,30,22.56
CF11 7QA,12,8.57,56,40.00,0,0.00,72,51.43
CF11 7PE,12,8.57,56,40.00,0,0.00,72,51.43
CF11 7GX,12,8.33,56,38.89,0,0.00,72,50.00
CF11 7FA,12,8.33,56,38.89,0,0.00,72,50.00
CF11 7BF,12,8.33,56,38.89,0,0.00,72,50.00
CF11 7AB,10,8.13,72,58.54,0,0.00,41,33.33
