Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF11 7AA,8,6.50,72,58.54,0,0.00,41,33.33
CF11 7AB,10,8.13,72,58.54,0,0.00,41,33.33
CF11 7AD,9,6.29,70,48.95,0,0.00,61,42.66
CF11 7AE,29,16.02,72,39.78,0,0.00,75,41.44
CF11 7AF,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7AG,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7AH,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7AJ,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7AL,68,58.12,32,27.35,0,0.00,15,12.82
CF11 7AN,8,6.50,72,58.54,0,0.00,41,33.33
CF11 7AP,9,6.29,70,48.95,0,0.00,61,42.66
CF11 7AQ,15,12.93,70,60.34,0,0.00,27,23.28
CF11 7AR,1,0.86,99,85.34,0,0.00,13,11.21
CF11 7AS,27,22.69,70,58.82,0,0.00,18,15.13
CF11 7AT,9,6.29,70,48.95,0,0.00,61,42.66
CF11 7AU,9,6.29,70,48.95,0,0.00,61,42.66
CF11 7AW,15,12.93,70,60.34,0,0.00,27,23.28
CF11 7AX,6,4.88,96,78.05,1,0.81,16,13.01
CF11 7AY,23,12.23,107,56.91,0,0.00,49,26.06
CF11 7AZ,29,16.02,72,39.78,0,0.00,75,41.44
CF11 7BA,8,6.50,72,58.54,0,0.00,41,33.33
