Postcode,Owned Outright,Owned Outright %,Owned with Mortgage,Owned with Mortgage %,Shared Ownership,Shared Ownership %,Rented From Council,Rented From Council %,Rented Other Social,Rented Other Social %,Rented Private Landlord,Rented Private Landlord %,Rented Other,Rented Other %,Rent Free,Rent Free %,Total,Council+Other Social (Count),Council+Other Social (%)
CF11 8JN,50,34.72,56,38.89,2,1.39,0,0.00,0,0.00,33,22.92,3,2.08,0,0.00,144,0,0.00
CF11 8JP,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8JQ,59,49.58,36,30.25,0,0.00,0,0.00,1,0.84,17,14.29,6,5.04,0,0.00,119,1,0.84
CF11 8LA,36,27.69,39,30.00,0,0.00,0,0.00,16,12.31,35,26.92,4,3.08,0,0.00,130,16,12.31
CF11 8LR,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8NB,34,28.33,40,33.33,0,0.00,0,0.00,13,10.83,31,25.83,2,1.67,0,0.00,120,13,10.83
CF11 8ND,50,34.72,56,38.89,2,1.39,0,0.00,0,0.00,33,22.92,3,2.08,0,0.00,144,0,0.00
CF11 8NE,59,44.03,41,30.60,0,0.00,9,6.72,0,0.00,19,14.18,6,4.48,0,0.00,134,9,6.72
CF11 8NN,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8PD,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8PF,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8PG,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8PH,54,38.30,56,39.72,0,0.00,0,0.00,11,7.80,18,12.77,2,1.42,0,0.00,141,11,7.80
CF11 8PJ,8,6.11,101,77.10,0,0.00,0,0.00,9,6.87,12,9.16,1,0.76,0,0.00,131,9,6.87
CF11 8PL,23,22.33,28,27.18,1,0.97,1,0.97,38,36.89,11,10.68,1,0.97,0,0.00,103,39,37.86
CF11 8PN,12,12.50,71,73.96,0,0.00,0,0.00,3,3.13,9,9.38,1,1.04,0,0.00,96,3,3.13
CF11 8PU,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8PZ,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8QF,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8QY,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8RD,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8RQ,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8RR,67,44.08,78,51.32,0,0.00,0,0.00,7,4.61,0,0.00,0,0.00,0,0.00,152,7,4.61
CF11 8SE,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8SR,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
