Postcode,Owned Outright,Owned with Mortgage,Shared Ownership,Rented: From Council,Rented: Other Social,Rented: Private Landlord,Rented: Other,Rent Free,Total,Social Housing Count,Social Housing %
CF14 1DU,24,24,0,38,2,0,7,1,114,40,35.09
CF14 1JE,24,24,0,38,2,0,7,1,114,40,35.09
CF14 1LF,24,24,0,38,2,0,7,1,114,40,35.09
CF14 1NQ,24,24,0,38,2,0,7,1,114,40,35.09
CF14 1NS,24,24,0,38,2,0,7,1,114,40,35.09
CF14 1NT,24,24,0,38,2,0,7,1,114,40,35.09
CF14 1NU,24,24,0,38,2,0,7,1,114,40,35.09
CF14 1DN,35,15,1,24,6,0,5,0,102,30,29.41
CF14 1DP,35,15,1,24,6,0,5,0,102,30,29.41
CF14 1DQ,35,15,1,24,6,0,5,0,102,30,29.41
CF14 1DR,35,15,1,24,6,0,5,0,102,30,29.41
CF14 1PP,35,15,1,24,6,0,5,0,102,30,29.41
CF14 1PR,35,15,1,24,6,0,5,0,102,30,29.41
CF14 1LR,42,30,0,8,26,0,1,0,116,34,29.31
CF14 1LS,42,30,0,8,26,0,1,0,116,34,29.31
CF14 1NW,42,30,0,8,26,0,1,0,116,34,29.31
CF14 1AB,39,19,1,4,31,0,3,0,121,35,28.93
CF14 1AE,39,19,1,4,31,0,3,0,121,35,28.93
CF14 1AG,39,19,1,4,31,0,3,0,121,35,28.93
CF14 1AP,39,19,1,4,31,0,3,0,121,35,28.93
CF14 1AR,39,19,1,4,31,0,3,0,121,35,28.93
CF14 1BS,39,19,1,4,31,0,3,0,121,35,28.93
CF14 1BU,39,19,1,4,31,0,3,0,121,35,28.93
CF14 1LG,39,19,1,4,31,0,3,0,121,35,28.93
CF14 1EP,58,37,0,24,6,0,1,0,135,30,22.22
CF14 1TW,34,36,0,11,4,0,1,0,107,15,14.02
CF14 1UB,34,36,0,11,4,0,1,0,107,15,14.02
CF14 1UD,34,36,0,11,4,0,1,0,107,15,14.02
CF14 1US,34,36,0,11,4,0,1,0,107,15,14.02
CF14 1AJ,37,32,0,14,0,0,7,1,123,14,11.38
CF14 1DA,37,32,0,14,0,0,7,1,123,14,11.38
CF14 1DB,37,32,0,14,0,0,7,1,123,14,11.38
CF14 1DD,37,32,0,14,0,0,7,1,123,14,11.38
CF14 1DG,37,32,0,14,0,0,7,1,123,14,11.38
CF14 1DH,37,32,0,14,0,0,7,1,123,14,11.38
CF14 1DJ,37,32,0,14,0,0,7,1,123,14,11.38
CF14 1LP,37,32,0,14,0,0,7,1,123,14,11.38
