Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 2AA,48,38.10%,46,36.51%,0,0.00%,32,25.40%
CF24 2AB,48,30.97%,44,28.39%,1,0.65%,62,40.00%
CF24 2AD,81,49.39%,56,34.15%,1,0.61%,26,15.85%
CF24 2AE,48,38.10%,46,36.51%,0,0.00%,32,25.40%
CF24 2AF,48,38.10%,46,36.51%,0,0.00%,32,25.40%
CF24 2AG,48,38.10%,46,36.51%,0,0.00%,32,25.40%
CF24 2AH,48,38.10%,46,36.51%,0,0.00%,32,25.40%
CF24 2AJ,48,38.10%,46,36.51%,0,0.00%,32,25.40%
CF24 2AL,48,38.10%,46,36.51%,0,0.00%,32,25.40%
CF24 2AN,48,30.97%,44,28.39%,1,0.65%,62,40.00%
CF24 2AP,48,30.97%,44,28.39%,1,0.65%,62,40.00%
CF24 2AQ,48,30.97%,44,28.39%,1,0.65%,62,40.00%
CF24 2AR,48,30.97%,44,28.39%,1,0.65%,62,40.00%
CF24 2AS,81,49.39%,56,34.15%,1,0.61%,26,15.85%
CF24 2AT,81,49.39%,56,34.15%,1,0.61%,26,15.85%
CF24 2AU,81,49.39%,56,34.15%,1,0.61%,26,15.85%
CF24 2AW,81,49.39%,56,34.15%,1,0.61%,26,15.85%
CF24 2AX,81,49.39%,56,34.15%,1,0.61%,26,15.85%
CF24 2AY,32,23.19%,80,57.97%,0,0.00%,26,18.84%
CF24 2AZ,32,23.19%,80,57.97%,0,0.00%,26,18.84%
CF24 2BA,32,23.19%,80,57.97%,0,0.00%,26,18.84%
CF24 2BB,52,31.71%,62,37.80%,0,0.00%,50,30.49%
CF24 2BD,32,23.19%,80,57.97%,0,0.00%,26,18.84%
CF24 2BE,52,31.71%,62,37.80%,0,0.00%,50,30.49%
CF24 2BF,81,49.39%,56,34.15%,1,0.61%,26,15.85%
CF24 2BG,22,18.64%,69,58.47%,0,0.00%,27,22.88%
CF24 2BH,32,23.19%,80,57.97%,0,0.00%,26,18.84%
CF24 2BJ,21,16.80%,74,59.20%,0,0.00%,30,24.00%
CF24 2BL,22,18.64%,69,58.47%,0,0.00%,27,22.88%
CF24 2BN,42,29.37%,41,28.67%,1,0.70%,59,41.26%
CF24 2BP,81,49.39%,56,34.15%,1,0.61%,26,15.85%
CF24 2BS,52,31.71%,62,37.80%,0,0.00%,50,30.49%
CF24 2BT,150,91.46%,9,5.49%,0,0.00%,5,3.05%
CF24 2BU,42,29.37%,41,28.67%,1,0.70%,59,41.26%
CF24 2BW,42,29.37%,41,28.67%,1,0.70%,59,41.26%
CF24 2BX,34,23.45%,93,64.14%,0,0.00%,18,12.41%
CF24 2BY,34,23.45%,93,64.14%,0,0.00%,18,12.41%
CF24 2BZ,42,29.37%,41,28.67%,1,0.70%,59,41.26%
CF24 2DA,42,29.37%,41,28.67%,1,0.70%,59,41.26%
CF24 2DB,29,23.39%,74,59.68%,0,0.00%,21,16.94%
CF24 2DD,34,23.45%,93,64.14%,0,0.00%,18,12.41%
CF24 2DE,81,49.39%,56,34.15%,1,0.61%,26,15.85%
CF24 2DF,42,29.37%,41,28.67%,1,0.70%,59,41.26%
CF24 2DG,32,23.19%,80,57.97%,0,0.00%,26,18.84%
CF24 2DH,21,16.80%,74,59.20%,0,0.00%,30,24.00%
CF24 2DJ,21,16.80%,74,59.20%,0,0.00%,30,24.00%
CF24 2DL,22,18.64%,69,58.47%,0,0.00%,27,22.88%
CF24 2DN,29,23.39%,74,59.68%,0,0.00%,21,16.94%
