Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 2FB,150,88.76%,9,5.33%,0,0.00%,5,2.96%
CF24 2ED,150,88.76%,9,5.33%,0,0.00%,5,2.96%
CF24 2EB,150,88.76%,9,5.33%,0,0.00%,5,2.96%
CF24 2DZ,150,88.76%,9,5.33%,0,0.00%,5,2.96%
CF24 2BT,150,88.76%,9,5.33%,0,0.00%,5,2.96%
CF24 2FU,44,86.27%,3,5.88%,0,0.00%,3,5.88%
CF24 2FL,44,86.27%,3,5.88%,0,0.00%,3,5.88%
CF24 2RX,70,83.33%,2,2.38%,1,1.19%,11,13.10%
CF24 2YE,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2TS,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2TR,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2HJ,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2HH,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2HG,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2FY,112,75.17%,15,10.07%,1,0.67%,13,8.72%
CF24 2FT,112,75.17%,15,10.07%,1,0.67%,13,8.72%
CF24 2TQ,70,70.71%,11,11.11%,0,0.00%,18,18.18%
CF24 2TL,70,70.71%,11,11.11%,0,0.00%,18,18.18%
CF24 2TJ,70,70.71%,11,11.11%,0,0.00%,18,18.18%
CF24 2SB,67,59.29%,37,32.74%,0,0.00%,4,3.54%
CF24 2QW,67,59.29%,37,32.74%,0,0.00%,4,3.54%
CF24 2QU,67,59.29%,37,32.74%,0,0.00%,4,3.54%
CF24 2QT,67,59.29%,37,32.74%,0,0.00%,4,3.54%
CF24 2HF,79,56.83%,26,18.71%,0,0.00%,34,24.46%
CF24 2HE,79,56.83%,26,18.71%,0,0.00%,34,24.46%
CF24 2HA,79,56.83%,26,18.71%,0,0.00%,34,24.46%
CF24 2DE,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2BP,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2BF,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2AX,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2AW,81,46.29%,56,32.00%,1,0.57%,26,14.86%
