Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 2PQ,70,83.33%,2,2.38%,1,1.19%,11,13.10%
CF24 2QS,67,59.29%,37,32.74%,0,0.00%,4,3.54%
CF24 2QE,59,41.26%,60,41.96%,0,0.00%,17,11.89%
CF24 2QG,59,41.26%,60,41.96%,0,0.00%,17,11.89%
CF24 2QJ,59,41.26%,60,41.96%,0,0.00%,17,11.89%
CF24 2QL,59,41.26%,60,41.96%,0,0.00%,17,11.89%
CF24 2QQ,59,41.26%,60,41.96%,0,0.00%,17,11.89%
CF24 2QP,59,41.86%,61,43.26%,0,0.00%,17,12.06%
CF24 2QR,59,41.86%,61,43.26%,0,0.00%,17,12.06%
CF24 2PW,58,46.03%,51,40.48%,1,0.79%,14,11.11%
CF24 2PU,58,46.03%,51,40.48%,1,0.79%,14,11.11%
CF24 2QD,58,46.03%,51,40.48%,1,0.79%,14,11.11%
CF24 2PX,67,59.29%,37,32.74%,0,0.00%,4,3.54%
CF24 2PY,42,29.17%,72,50.00%,0,0.00%,26,18.06%
CF24 2QB,42,29.17%,72,50.00%,0,0.00%,26,18.06%
CF24 2QF,42,29.17%,72,50.00%,0,0.00%,26,18.06%
CF24 2QH,42,29.17%,72,50.00%,0,0.00%,26,18.06%
CF24 2QN,42,29.17%,72,50.00%,0,0.00%,26,18.06%
CF24 2PZ,59,41.86%,61,43.26%,0,0.00%,17,12.06%
CF24 2QA,37,29.60%,61,48.80%,1,0.80%,22,17.60%
CF24 2PR,34,23.29%,78,53.42%,1,0.68%,31,21.23%
CF24 2PS,34,23.29%,78,53.42%,1,0.68%,31,21.23%
CF24 2PT,34,23.29%,78,53.42%,1,0.68%,31,21.23%
CF24 2PB,28,18.30%,98,64.05%,0,0.00%,22,14.38%
CF24 2NX,17,14.17%,74,61.67%,0,0.00%,25,20.83%
CF24 2PG,17,14.17%,74,61.67%,0,0.00%,25,20.83%
CF24 2PD,15,11.11%,79,58.52%,0,0.00%,35,25.93%
CF24 2PA,12,9.02%,78,58.65%,0,0.00%,43,32.33%
CF24 2PE,12,9.02%,78,58.65%,0,0.00%,43,32.33%
CF24 2PH,12,9.02%,78,58.65%,0,0.00%,43,32.33%
CF24 2PP,12,9.02%,78,58.65%,0,0.00%,43,32.33%
CF24 2NY,12,9.52%,79,62.70%,0,0.00%,30,23.81%
CF24 2NZ,12,9.02%,78,58.65%,0,0.00%,43,32.33%
CF24 2PF,10,7.94%,87,69.05%,0,0.00%,26,20.63%
CF24 2NW,3,2.78%,83,76.85%,0,0.00%,20,18.52%
CF24 2PJ,2,1.77%,81,71.68%,0,0.00%,26,23.01%
CF24 2PL,2,1.77%,81,71.68%,0,0.00%,26,23.01%
CF24 2PN,2,1.77%,81,71.68%,0,0.00%,26,23.01%
