Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 2JY,10,7.94%,87,69.05%,0,0.00%,26,20.63%
CF24 2JZ,10,7.94%,87,69.05%,0,0.00%,26,20.63%
CF24 2LA,3,2.78%,83,76.85%,0,0.00%,20,18.52%
CF24 2LB,28,18.30%,98,64.05%,0,0.00%,22,14.38%
CF24 2LD,28,18.30%,98,64.05%,0,0.00%,22,14.38%
CF24 2LE,3,2.78%,83,76.85%,0,0.00%,20,18.52%
CF24 2LF,34,23.29%,78,53.42%,1,0.68%,31,21.23%
CF24 2LG,23,22.55%,64,62.75%,0,0.00%,15,14.71%
CF24 2LH,19,13.38%,97,68.31%,0,0.00%,26,18.31%
CF24 2LJ,19,13.29%,78,54.55%,2,1.40%,38,26.57%
CF24 2LL,12,9.02%,78,58.65%,0,0.00%,43,32.33%
CF24 2LN,12,9.02%,78,58.65%,0,0.00%,43,32.33%
CF24 2LP,19,13.48%,97,68.31%,0,0.00%,26,18.31%
CF24 2LQ,19,13.29%,78,54.55%,2,1.40%,38,26.57%
CF24 2LR,19,13.29%,78,54.55%,2,1.40%,38,26.57%
CF24 2NB,15,11.11%,79,58.52%,0,0.00%,35,25.93%
CF24 2ND,12,9.52%,79,62.70%,0,0.00%,30,23.81%
CF24 2NE,12,9.52%,79,62.70%,0,0.00%,30,23.81%
CF24 2NF,28,18.30%,98,64.05%,0,0.00%,22,14.38%
CF24 2NG,15,11.11%,79,58.52%,0,0.00%,35,25.93%
CF24 2NH,12,9.52%,79,62.70%,0,0.00%,30,23.81%
CF24 2NJ,12,9.52%,79,62.70%,0,0.00%,30,23.81%
CF24 2NL,15,11.11%,79,58.52%,0,0.00%,35,25.93%
CF24 2NN,10,7.94%,87,69.05%,0,0.00%,29,23.02%
CF24 2NP,19,13.38%,97,68.31%,0,0.00%,22,15.49%
CF24 2NQ,15,11.11%,79,58.52%,0,0.00%,35,25.93%
CF24 2NR,17,14.17%,74,61.67%,0,0.00%,25,20.83%
CF24 2NS,3,2.78%,83,76.85%,0,0.00%,20,18.52%
CF24 2NT,17,14.17%,74,61.67%,0,0.00%,25,20.83%
CF24 2NU,17,14.17%,74,61.67%,0,0.00%,25,20.83%
