Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 3PA,4,2.41%,57,34.34%,1,0.60%,0,0.00%
CF24 3PB,4,2.41%,57,34.34%,1,0.60%,0,0.00%
CF24 3PD,4,2.41%,57,34.34%,1,0.60%,0,0.00%
CF24 3PE,4,3.36%,47,39.50%,0,0.00%,0,0.00%
CF24 3PF,14,10.29%,18,13.24%,0,0.00%,0,0.00%
CF24 3PG,4,2.41%,57,34.34%,1,0.60%,0,0.00%
CF24 3PH,14,10.29%,18,13.24%,0,0.00%,0,0.00%
CF24 3PJ,4,2.41%,57,34.34%,1,0.60%,0,0.00%
CF24 3PR,5,3.88%,34,26.36%,0,0.00%,0,0.00%
CF24 3PS,5,3.88%,34,26.36%,0,0.00%,0,0.00%
CF24 3PT,5,3.88%,34,26.36%,0,0.00%,0,0.00%
CF24 3PU,18,18.00%,16,16.00%,0,0.00%,0,0.00%
CF24 3PW,17,10.30%,10,6.06%,0,0.00%,0,0.00%
CF24 3PX,17,10.30%,10,6.06%,0,0.00%,0,0.00%
CF24 3PY,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3PZ,18,18.00%,16,16.00%,0,0.00%,0,0.00%
CF24 3QA,6,3.64%,24,14.55%,0,0.00%,0,0.00%
CF24 3QB,6,3.64%,24,14.55%,0,0.00%,0,0.00%
CF24 3QD,12,9.60%,16,12.80%,0,0.00%,0,0.00%
CF24 3QE,12,9.60%,16,12.80%,0,0.00%,0,0.00%
CF24 3QF,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3QG,5,3.88%,34,26.36%,0,0.00%,0,0.00%
CF24 3QH,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3QJ,42,19.53%,45,20.93%,0,0.00%,0,0.00%
CF24 3QL,74,43.53%,30,17.65%,0,0.00%,0,0.00%
CF24 3QN,42,19.53%,45,20.93%,0,0.00%,0,0.00%
CF24 3QP,42,19.53%,45,20.93%,0,0.00%,0,0.00%
CF24 3QQ,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3QR,74,43.53%,30,17.65%,0,0.00%,0,0.00%
CF24 3QS,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3QT,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3QU,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3QW,74,43.53%,30,17.65%,0,0.00%,0,0.00%
CF24 3QX,23,20.91%,31,28.18%,0,0.00%,0,0.00%
CF24 3QY,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3QZ,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3RA,9,7.32%,64,52.03%,0,0.00%,0,0.00%
CF24 3RB,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3RD,42,19.53%,45,20.93%,0,0.00%,0,0.00%
CF24 3RE,23,20.91%,31,28.18%,0,0.00%,0,0.00%
CF24 3RF,9,7.32%,64,52.03%,0,0.00%,0,0.00%
CF24 3RG,74,43.53%,30,17.65%,0,0.00%,0,0.00%
CF24 3RH,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3RJ,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3RL,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3RP,7,4.70%,33,22.15%,0,0.00%,0,0.00%
CF24 3RQ,7,4.70%,33,22.15%,0,0.00%,0,0.00%
CF24 3RR,4,3.36%,47,39.50%,0,0.00%,0,0.00%
CF24 3RS,4,3.36%,47,39.50%,0,0.00%,0,0.00%
CF24 3RT,4,2.41%,57,34.34%,1,0.60%,0,0.00%
CF24 3RU,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3RW,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3RX,2,1.64%,97,79.51%,1,0.82%,0,0.00%
CF24 3RY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SF,Error,Error,Error,Error,Error,Error,Error,Error
